Time, Temp
10548,285
10558,284
10569,285
10579,285
10590,285
10600,285
10611,285
10621,284
10632,285
10643,285
10653,286
10664,284
10676,284
10687,285
10699,285
10711,286
10722,286
10733,285
10744,284
10756,286
10768,285
10779,285
10790,285
10802,286
10813,285
10824,286
10836,285
10848,285
10859,285
10870,285
10882,286
10894,285
10905,285
10916,285
10928,285
10939,285
10950,286
10962,287
10974,286
10985,286
10996,287
11008,286
11019,285
11031,286
11042,285
11054,285
11065,286
11076,285
11087,285
11100,286
11111,286
11122,286
11133,285
11145,286
11156,286
11168,285
11180,287
11191,286
11202,287
11213,285
11225,286
11237,287
11248,285
11259,286
11271,286
11282,285
11294,286
11305,287
11317,286
11328,285
11339,287
11351,285
11363,286
11374,287
11385,287
11397,286
11408,286
11419,287
11431,286
11443,286
11454,288
11465,286
11476,286
11488,287
11500,286
11511,286
11523,286
11534,287
11545,288
11556,286
11569,286
11580,287
11591,288
11602,287
11614,288
11626,287
11637,286
11649,287
11660,286
11671,286
11682,286
11695,287
11706,287
11717,287
11728,287
11740,286
11751,288
11763,287
11774,287
11786,287
11797,288
11808,287
11820,288
11832,286
11843,288
11854,286
11866,287
11877,287
11888,287
11900,287
11912,287
11923,287
11934,288
11945,286
11957,287
11969,287
11980,287
11992,286
12003,288
12014,287
12026,286
12038,288
12049,286
12060,287
12071,287
12083,287
12095,287
12106,287
12118,287
12129,287
12140,287
12151,286
12164,287
12175,287
12186,287
12197,286
12209,288
12220,287
12232,286
12243,287
12255,288
12266,286
12277,287
12289,287
12301,287
12312,288
12323,288
12335,287
12346,286
12358,287
12369,288
12381,287
12392,287
12403,288
12414,287
12427,286
12438,287
12449,288
12461,286
12472,287
12483,287
12495,287
12507,287
12518,287
12529,288
12540,287
12552,286
12564,288
12575,287
12587,288
12598,287
12609,287
12620,286
12633,288
12644,288
12655,287
12666,287
12678,288
12689,287
12701,288
12712,287
12724,288
12735,287
12746,287
12759,287
12770,288
12781,286
12792,288
12804,288
12815,288
12827,288
12838,288
12850,287
12861,287
12872,288
12883,288
12896,287
12907,287
12918,288
12930,287
12941,287
12952,288
12964,287
12976,287
12987,287
12998,288
13009,288
13021,288
13033,288
13044,288
13056,288
13067,288
13078,287
13090,288
13102,287
13113,288
13124,288
13135,287
13147,288
13159,288
13170,287
13181,287
13193,288
13204,289
13215,287
13228,288
13239,288
13250,287
13261,288
13273,287
13284,288
13296,288
13307,288
13319,287
13330,287
13341,288
13352,288
13365,287
13376,288
13387,288
13399,288
13410,287
13421,288
13433,288
13445,287
13456,288
13467,288
13478,288
13491,289
13502,288
13513,288
13524,287
13536,288
13547,287
13559,287
13571,287
13582,288
13593,288
13604,289
13616,288
13628,288
13639,287
13650,288
13662,288
13673,288
13684,288
13697,289
13708,289
13719,289
13730,288
13742,288
13753,288
13765,287
13776,290
13788,288
13799,287
13810,288
13822,289
13834,287
13845,288
13856,288
13868,288
13879,288
13891,288
13902,288
13914,287
13925,288
13936,288
13947,288
13960,288
13971,288
13982,289
13993,288
14005,288
14016,289
14028,287
14040,288
14051,288
14062,288
14073,288
14085,288
14097,289
14108,288
14119,288
14131,289
14142,288
14153,288
14166,288
14177,289
14188,288
14199,288
14211,289
14223,288
14234,290
14245,290
14257,288
14268,288
14279,289
14291,289
14303,289
14314,288
14325,289
14337,290
14348,289
14360,290
14371,290
14383,289
14394,288
14405,289
14416,290
14429,289
14440,291
14451,289
14462,289
14474,289
14485,290
14497,289
14509,289
14520,291
14531,290
14542,289
14555,290
14566,290
14577,289
14588,290
14600,291
14611,290
14623,290
14635,290
14646,290
14657,290
14668,290
14680,291
14692,290
14703,289
14714,290
14726,290
14737,290
14748,290
14760,291
14772,291
14783,291
14794,291
14806,291
14817,289
14829,291
14840,291
14852,291
14863,290
14874,291
14885,291
14898,290
14909,290
14920,291
14931,291
14943,290
14955,291
14966,290
14978,291
14989,291
15000,291
15011,292
15024,291
15035,291
15046,290
15057,291
15069,291
15080,292
15092,291
15104,292
15115,292
15126,291
15137,291
15149,293
15161,292
15172,291
15183,292
15195,293
15206,291
15217,292
15229,293
15241,292
15252,291
15263,293
15275,292
15287,291
15298,292
15309,292
15321,293
15332,292
15343,291
15355,292
15367,291
15378,292
15389,293
15400,292
15412,291
15424,292
15435,291
15447,292
15458,292
15469,293
15480,293
15493,292
15504,292
15515,291
15526,292
15538,292
15549,293
15561,292
15572,292
15584,293
15595,291
15606,292
15618,292
15630,292
15641,292
15652,293
15664,292
15675,293
15687,293
15698,293
15710,294
15721,292
15732,293
15744,294
15756,292
15767,292
15778,293
15790,293
15801,293
15812,293
15824,293
15836,292
15847,292
15858,293
15869,293
15881,294
15893,293
15904,294
15916,292
15927,292
15938,292
15949,292
15962,292
15973,293
15984,293
15995,293
16007,294
16019,292
16030,292
16041,292
16053,294
16064,293
16075,293
16088,293
16099,294
16110,293
16121,293
16133,293
16144,293
16156,293
16167,293
16179,294
16190,293
16201,293
16212,293
16225,293
16236,293
16247,294
16259,294
16270,294
16281,294
16293,294
16305,294
16316,293
16327,294
16338,294
16350,293
16362,293
16373,295
16385,293
16396,294
16407,294
16419,293
16431,293
16442,294
16453,294
16464,293
16476,294
16488,294
16499,293
16510,294
16522,294
16533,295
16544,293
16557,294
16568,295
16579,294
16590,293
16602,294
16613,294
16625,293
16636,295
16648,295
16659,294
16670,294
16681,294
16694,294
16705,293
16716,293
16728,295
16739,293
16751,294
16762,294
16774,295
16785,293
16796,294
16807,295
16820,295
16831,294
16842,294
16854,294
16865,295
16876,294
16888,295
16900,294
16911,294
16922,295
16933,294
16945,293
16957,294
16968,294
16979,294
16991,295
17002,295
17013,294
17026,294
17037,294
17048,295
17059,294
17071,294
17082,296
17094,295
17105,294
17117,295
17128,295
17139,294
17152,294
17163,294
17174,294
17185,294
17197,296
17208,295
17220,295
17231,294
17243,295
17254,294
17265,294
17276,294
17289,295
17300,295
17311,295
17323,295
17334,294
17345,294
17357,295
17369,294
17380,294
17391,295
17402,296
17414,293
17426,295
17437,295
17448,294
17460,295
17471,295
17483,295
17495,294
17506,295
17517,295
17528,294
17540,294
17552,296
17563,295
17574,295
17586,295
17597,295
17608,295
17620,295
17632,296
17643,296
17654,295
17666,295
17677,295
17689,294
17700,295
17712,296
17723,296
17734,294
17745,296
17758,296
17769,295
17780,295
17792,296
17803,295
17814,295
17826,296
17838,295
17849,295
17860,295
17871,295
17884,295
17895,295
17906,295
17917,296
17929,295
17940,296
17952,297
17964,295
17975,295
17986,295
17997,294
18009,294
18021,296
18032,296
18043,295
18055,295
18066,295
18077,296
18089,294
18101,295
18112,295
18123,295
18135,294
18146,297
18158,295
18169,295
18181,295
18192,296
18203,295
18215,295
18227,295
18238,295
18249,295
18260,296
18272,295
18284,295
18295,295
18307,296
18318,295
18329,295
18340,296
18353,295
18364,296
18375,297
18386,296
18398,295
18409,295
18421,295
18433,296
18444,296
18455,295
18466,296
18478,295
18490,295
18501,296
18512,295
18524,295
18535,295
18546,296
18558,296
18570,296
18581,297
18592,296
18604,295
18616,296
18627,295
18638,294
18650,296
18661,296
18672,295
18684,295
18696,296
18707,296
18718,295
18729,295
18741,296
18753,296
18764,296
18776,297
18787,296
18798,295
18809,297
18822,296
18833,295
18844,295
18855,296
18867,295
18878,295
18890,295
18902,296
18913,295
18924,296
18935,296
18948,296
18959,295
18970,298
18981,296
18993,296
19004,295
19016,296
19027,297
19039,296
19050,295
19061,297
19073,296
19085,297
19096,297
19107,296
19119,295
19130,297
19141,297
19153,296
19165,296
19176,296
19187,296
19198,296
19210,296
19222,296
19233,297
19245,296
19256,296
19267,296
19278,295
19291,296
19302,296
19313,295
19324,297
19336,297
19348,296
19359,296
19371,295
19382,295
19393,296
19404,296
19417,296
19428,295
19439,297
19450,297
19462,295
19473,296
19485,296
19496,297
19508,296
19519,295
19530,297
19542,295
19554,296
19565,296
19576,296
19588,295
19599,296
19610,297
19622,296
19634,296
19645,296
19656,297
19667,297
19680,297
19691,296
19702,296
19714,296
19725,296
19736,296
19748,296
19760,297
19771,297
19782,296
19793,296
19805,296
19817,296
19828,297
19840,297
19851,296
19862,297
19873,296
19886,296
19897,295
19908,296
19919,296
19931,296
19942,296
19954,296
19965,295
19977,295
19988,296
19999,296
20011,297
20023,297
20034,296
20045,296
20057,295
20068,297
20080,296
20091,296
20103,296
20114,297
20125,295
20136,296
20149,296
20160,296
20171,296
20183,296
20194,296
20205,296
20217,295
20229,295
20240,295
20251,296
20262,295
20274,295
20286,295
20297,296
20308,294
20320,294
20331,295
20342,295
20355,294
20366,294
20377,295
20388,293
20400,293
20412,294
20423,293
20434,293
20446,292
20457,293
20468,292
20481,293
20492,293
20503,292
20514,292
20526,292
20537,292
20549,292
20560,292
20572,292
20583,291
20594,291
20605,291
20618,290
20629,290
20640,291
20652,291
20663,290
20674,290
20686,289
20698,290
20709,289
20720,289
20731,290
20743,290
20755,289
20766,290
20777,288
20789,289
20800,289
20812,289
20824,288
20835,288
20846,289
20857,289
20869,288
20881,288
20892,288
20903,288
20915,288
20926,288
20937,288
20950,287
20961,288
20972,287
20983,287
20995,286
21006,286
21018,286
21029,287
21041,286
21052,286
21063,287
21074,285
21087,285
21098,286
21109,286
21121,286
21132,284
21144,285
21155,285
21167,285
21178,284
21189,285
21200,284
21213,284
21224,285
21235,285
21246,284
21258,284
21269,284
21281,284
21293,284
21304,284
21315,285
21326,284
21338,284
21350,283
21361,283
21372,283
21384,283
21395,282
21406,282
21419,283
21430,282
21441,282
21452,283
21464,282
21475,281
21487,282
21498,282
21510,282
21521,281
21532,282
21544,281
21556,282
21567,281
21578,281
21590,281
21601,281
21613,281
21624,281
21636,280
21647,280
21658,281
21669,281
21682,280
21693,280
21704,280
21715,280
21727,280
21738,279
21750,280
21762,280
