Time,Distance
19763,25.79
19765,24.88
19768,26.19
19770,23.72
19778,23.68
19792,23.94
19813,146.31
19827,145.12
19834,25.79
19848,23.56
19862,22.54
19875,22.02
19889,21.61
19902,22.84
19923,145.50
19938,145.88
19945,21.51
19958,21.87
19972,21.83
19986,23.82
19999,25.93
20013,26.45
20026,23.41
20039,22.54
20052,21.61
20067,21.51
20080,20.73
20093,21.13
20107,20.68
20120,21.09
20134,21.87
20148,21.97
20161,22.84
20174,22.84
20189,23.20
20202,23.67
20215,24.63
20229,24.23
20242,24.70
20256,25.93
20270,25.54
20283,25.26
20296,25.31
20310,24.08
20324,23.56
20337,23.62
20350,23.31
20364,23.36
20377,22.95
20391,22.00
20405,22.02
20418,21.71
20431,21.71
20445,21.71
20458,21.30
20472,21.18
20486,21.30
20499,21.28
20512,21.28
20527,21.61
20540,21.59
20553,21.25
20567,21.25
20580,21.66
20594,21.13
20608,21.09
20621,21.20
20634,21.20
20647,21.21
20662,21.51
20675,21.51
20688,21.61
20702,21.61
20715,22.02
20729,22.36
20743,22.48
20756,22.90
20769,23.77
20783,23.34
20797,23.65
20810,23.77
20824,23.77
20837,23.77
20851,23.67
20865,24.52
20878,24.64
20891,24.23
20904,24.64
20919,24.54
20932,24.13
20945,24.23
20959,24.23
20972,23.82
20986,22.95
21000,22.84
21013,22.95
21026,22.95
21040,22.95
21054,22.54
21067,22.84
21081,22.95
21094,23.38
21107,23.36
21122,23.27
21135,23.26
21148,23.79
21161,23.36
21175,23.77
21189,22.79
21202,23.20
21216,22.43
21229,21.97
21242,21.99
21256,21.51
21270,21.81
21283,21.87
21297,21.87
21310,22.69
21324,23.00
21459,2104.24
21585,2110.51
21597,178.39
21609,179.41
21620,180.71
