Time,Bits
8599,483
8605,484
8611,485
8616,485
8622,487
8628,497
8634,503
8639,503
8645,502
8651,501
8657,507
8662,517
8668,516
8674,516
8680,514
8685,516
8691,523
8697,528
8703,527
8708,525
8714,523
8720,527
8726,536
8731,534
8737,532
8743,529
8748,531
8754,536
8760,539
8766,536
8772,533
8777,530
8783,534
8789,542
8795,539
8800,535
8806,530
8812,531
8818,536
8823,539
8829,535
8835,530
8841,526
8846,529
8852,536
8858,532
8864,527
8869,520
8875,518
8881,521
8887,523
8892,518
8898,512
8904,505
8910,506
8915,512
8921,507
8927,501
8933,494
8938,489
8944,493
8950,493
8956,488
8961,481
8967,473
8973,471
8979,476
8984,470
8990,464
8996,456
9002,448
9007,451
9013,451
9019,444
9025,436
9030,427
9036,423
9042,428
9048,422
9053,415
9059,408
9065,397
9071,398
9076,392
9082,385
9088,378
9094,369
9099,362
9105,362
9111,355
9117,348
9122,340
9128,330
9134,333
9140,326
9145,319
9151,311
9157,302
9163,295
9168,293
9174,287
9180,280
9186,272
9191,263
9197,262
9203,257
9209,251
9214,245
9220,239
9226,234
9231,230
9237,226
9243,222
9249,218
9254,214
9260,215
9266,213
9272,212
9277,210
9283,209
9289,211
9295,211
9300,211
9306,212
9312,213
9318,214
9323,220
9329,222
9335,224
9341,227
9346,230
9352,237
9358,243
9364,245
9369,249
9375,253
9381,257
9387,268
9392,272
9398,277
9404,282
9410,287
9415,296
9421,308
9427,312
9433,317
9438,322
9444,328
9450,343
9456,347
9461,351
9467,355
9473,359
9479,367
9484,379
9490,383
9496,386
9502,389
9508,391
9513,408
9519,416
9525,419
9531,421
9536,423
9542,431
9548,444
9554,446
9559,448
9565,449
9571,450
9576,461
9582,469
9588,470
9594,471
9599,471
9605,477
9611,489
9617,490
9622,490
9628,489
9634,490
9640,499
9645,506
9651,506
9657,505
9663,503
9668,509
9674,520
9680,521
9686,520
9691,518
9697,520
9703,526
9709,532
9714,530
9720,528
9726,525
9732,529
9737,536
9743,534
9749,532
9755,529
9760,529
9766,534
9772,538
9778,534
9783,530
9789,527
9795,530
9801,538
9806,536
9812,532
9818,527
9824,527
9829,531
9835,535
9841,531
9847,527
9852,522
9858,524
9864,530
9870,526
9875,521
9881,514
9887,511
9893,515
9898,518
9904,513
9910,507
9916,499
9921,500
9927,506
9933,501
9939,495
9944,488
9950,482
9956,485
9962,486
9967,481
9973,474
9979,466
9985,463
9990,470
9996,464
10002,457
10008,448
10014,438
10019,437
10025,443
10031,437
10037,427
10043,416
10048,406
10054,408
10060,411
10066,408
10072,397
10077,386
10083,373
10089,372
10095,373
10101,374
10106,364
10112,354
10118,341
10124,334
10130,334
10135,333
10141,325
10147,315
10153,304
10159,293
10164,291
10170,290
10176,282
10182,274
10188,265
10193,255
10199,253
10205,251
10211,249
10217,243
10222,237
10228,230
10234,228
10240,226
10246,226
10251,223
10257,219
10263,215
10269,210
10275,211
10280,211
10286,210
10292,209
10298,208
10304,207
10309,209
10315,213
10321,218
10327,219
10333,220
10338,222
10344,227
10350,233
10356,241
10362,243
10367,246
10373,248
10379,251
10385,260
10391,269
10396,281
10402,285
10408,288
10414,290
10420,300
10425,312
10431,326
10437,328
10443,330
10449,333
10454,334
10460,346
10466,360
10472,369
10478,370
10483,371
10489,370
10495,382
10501,395
10507,409
10512,413
10518,413
10524,411
10530,415
10536,427
10541,443
10547,451
10553,450
10559,447
10565,445
10570,454
10576,469
10582,478
10588,478
10594,475
10599,469
10605,473
10611,486
10617,497
10623,501
10628,497
10634,490
10640,490
10646,500
10652,512
10657,519
10663,515
10669,509
10675,505
10681,510
10686,524
10692,533
10698,534
10704,527
10710,521
10715,521
10721,532
10727,542
10733,545
10739,538
10744,529
10750,525
10756,530
10762,541
10768,547
10773,546
10779,536
10785,530
10791,529
10797,539
10803,548
10808,550
10814,541
10820,532
10826,527
10832,530
10837,541
10843,545
10849,542
10855,531
10861,523
10866,521
10872,529
10878,536
10884,537
10890,527
10895,516
10901,510
10907,512
10913,521
10919,525
10924,517
10930,506
10936,496
10942,493
10948,500
10953,505
10959,502
10965,491
10971,478
10977,470
10982,472
10988,478
10994,478
11000,468
11006,455
11012,444
11017,441
11023,444
11029,447
11035,438
11040,427
11046,414
11052,407
11058,409
11064,413
11069,408
11075,398
11081,386
11087,374
11093,374
11098,374
11104,373
11110,363
11116,353
11122,339
11127,334
11133,333
11139,333
11145,325
11151,315
11156,305
11162,295
11168,293
11174,291
11180,285
11185,278
11191,269
11197,258
11203,255
11209,253
11214,251
11220,245
11226,239
11232,232
11238,229
11243,227
11249,226
11255,223
11261,220
11267,216
11273,212
11278,212
11284,213
11290,216
11296,215
11302,214
11307,213
11313,216
11319,218
11325,223
11331,224
11336,225
11342,227
11348,229
11354,235
11360,243
11365,253
11371,256
11377,260
11383,263
11389,272
11394,282
11400,293
11406,298
11412,301
11418,304
11423,305
11429,316
11435,328
11441,340
11447,342
11452,344
11458,345
11464,355
11470,368
11476,383
11481,386
11487,387
11493,386
11499,388
11505,400
11511,414
11516,424
11522,423
11528,421
11534,418
11540,428
11545,441
11551,453
11557,457
11563,455
11568,452
11574,454
11580,468
11586,482
11592,488
11598,485
11603,482
11609,480
11615,489
11621,503
11626,511
11632,510
11638,505
11644,500
11650,503
11655,516
11661,526
11667,529
11673,523
11679,516
11685,515
11690,524
11696,535
11702,541
11708,536
11713,529
11719,525
11725,529
11731,541
11737,549
11743,549
11748,541
11754,534
11760,533
11766,543
11772,552
11777,555
11783,548
11789,538
11795,533
11801,536
11806,546
11812,551
11818,549
11824,538
11830,530
11835,529
11841,537
11847,545
11853,546
11859,537
11864,526
11870,520
11876,522
11882,532
11888,536
11893,532
11899,520
11905,511
11911,508
11917,515
11922,522
11928,521
11934,510
11940,498
11946,490
11951,492
11957,499
11963,501
11969,491
11975,480
11981,469
11986,466
11992,471
11998,477
12004,472
12010,461
12015,448
12021,441
12027,444
12033,448
12039,447
12044,437
12050,425
12056,412
12062,410
12068,413
12073,415
12079,406
12085,395
12091,382
12097,374
12102,375
12108,376
12114,366
12120,356
12126,344
12131,331
12137,329
12143,328
12149,327
12155,317
12160,307
12166,295
12172,293
12178,291
12184,289
12189,282
12195,274
12201,265
12207,257
12213,254
12218,251
12224,246
12230,240
12236,233
12242,225
12247,224
12253,222
12259,222
12265,218
12271,215
12276,212
12282,212
12288,213
12294,215
12300,214
12305,213
12311,213
12317,212
12323,216
12329,221
12334,227
12340,229
12346,231
12352,233
12358,240
12363,247
12369,256
12375,261
12381,264
12387,266
12393,268
12398,275
12404,283
12410,292
12416,292
12422,291
12427,288
12433,290
12439,293
12445,297
12451,296
12456,292
12462,286
12468,280
12474,282
12480,285
12485,287
12491,283
12497,279
12503,273
12509,273
12514,276
12520,280
12526,280
12532,278
12538,273
12543,266
12549,262
12555,258
12561,251
12567,241
12572,231
12578,217
12584,205
12590,196
12596,186
12601,178
12607,172
12613,165
12619,160
12625,157
12630,153
12636,150
12642,147
12648,144
12654,143
12659,142
12665,141
12671,140
12677,139
12683,138
12688,138
12694,138
12700,138
12706,138
12712,138
12717,137
12723,137
12729,137
12735,138
12741,138
12746,138
12752,137
12758,136
12764,136
12770,137
12775,137
12781,137
12787,136
12793,135
12799,134
12804,134
12810,134
12816,134
12822,133
12828,131
12833,130
12839,129
12845,129
12851,128
12857,128
12862,127
12868,127
12874,127
12880,127
12886,127
12892,128
12897,128
12903,127
12909,126
12915,126
12921,127
12926,127
12932,126
12938,125
12944,125
12950,125
12955,124
12961,125
12967,124
12973,124
12979,123
12984,122
12990,122
12996,122
13002,121
13008,121
13013,120
13019,120
13025,119
13031,120
13037,120
13042,120
13048,119
13054,119
13060,119
13066,119
13071,120
13077,120
13083,119
13089,119
13095,119
13100,119
13106,119
13112,120
13118,120
13124,120
13129,120
13135,119
13141,119
13147,119
13153,119
13158,119
13164,118
13170,118
13176,118
13182,117
13187,117
13193,117
13199,117
13205,116
13211,116
13216,116
13222,116
13228,116
13234,116
13240,115
13245,115
13251,116
13257,116
13263,116
13269,116
13274,117
13280,117
13286,117
13292,116
13298,116
13303,117
13309,117
13315,116
13321,116
13327,116
13333,116
13338,116
13344,116
13350,116
13356,116
13362,116
13367,116
13373,116
13379,116
13385,116
13391,116
13396,116
13402,117
13408,117
13414,117
13420,117
13425,118
13431,118
13437,118
13443,119
13449,119
13454,119
13460,119
13466,119
13472,119
13478,120
13483,120
13489,120
13495,120
13501,120
13507,120
13512,120
13518,121
13524,121
13530,121
13536,120
13541,121
13547,121
13553,122
13559,122
13565,122
13570,122
13576,122
13582,122
13588,123
13594,124
13599,124
13605,124
13611,124
13617,124
13623,124
13628,125
13634,126
13640,126
13646,126
13652,126
13657,126
13663,127
13669,128
13675,128
13681,128
13686,128
13692,128
13698,128
13704,129
13710,129
13715,129
13721,128
13727,128
13733,129
13739,129
13744,130
13750,129
13756,129
13762,128
13768,128
13773,128
13779,129
13785,129
13791,128
13797,128
13803,127
13808,127
13814,128
13820,129
13826,129
13832,128
13837,128
13843,128
13849,129
13855,129
13861,129
13866,129
13872,128
13878,128
13884,128
13890,128
13895,128
13901,128
13907,127
13913,127
13919,127
13924,127
13930,127
13936,127
13942,127
13948,126
13953,126
13959,126
13965,126
13971,126
13977,125
13982,125
13988,125
13994,124
14000,124
14006,125
14011,125
14017,124
14023,124
14029,124
14035,124
14040,124
14046,124
14052,124
14058,123
14064,123
14069,122
14075,122
14081,122
14087,122
14093,121
14098,121
14104,121
14110,121
14116,121
14122,121
14127,120
14133,120
14139,120
14145,120
14151,120
14156,120
