Time,Bits_1
8300,297
8306,299
8312,302
8317,303
8323,302
8329,300
8335,299
8340,302
8346,307
8352,307
8358,306
8363,304
8369,306
8375,311
8381,314
8386,313
8392,312
8398,312
8404,315
8409,320
8415,322
8421,321
8427,320
8432,323
8438,327
8444,331
8450,330
8455,330
8461,331
8467,334
8473,339
8478,341
8484,340
8490,339
8496,342
8501,346
8507,351
8513,350
8519,349
8524,351
8530,354
8536,358
8542,361
8547,360
8553,360
8559,362
8565,365
8570,369
8576,370
8582,369
8588,371
8593,373
8599,376
8605,379
8611,378
8616,378
8622,380
8628,382
8634,386
8639,386
8645,384
8651,386
8657,388
8662,390
8668,393
8674,391
8680,391
8685,393
8691,395
8697,397
8703,397
8708,395
8714,396
8720,397
8726,399
8731,401
8737,398
8743,398
8749,399
8754,400
8760,401
8766,401
8772,400
8777,400
8783,401
8789,402
8795,403
8800,400
8806,400
8812,400
8818,400
8823,401
8829,400
8835,398
8841,398
8846,398
8852,399
8858,400
8864,396
8869,394
8875,394
8881,394
8887,395
8892,393
8898,389
8904,389
8910,389
8915,389
8921,390
8927,385
8933,383
8938,382
8944,382
8950,383
8956,381
8961,376
8967,375
8973,374
8979,374
8984,374
8990,370
8996,366
9002,366
9007,366
9013,366
9019,363
9025,358
9030,356
9036,356
9042,356
9048,356
9053,352
9059,347
9065,347
9071,346
9076,346
9082,343
9088,338
9094,336
9099,335
9105,335
9111,334
9117,330
9122,325
9128,325
9134,325
9140,326
9145,323
9151,319
9157,316
9162,317
9168,318
9174,316
9180,313
9186,308
9191,308
9197,310
9203,310
9208,308
9214,304
9220,302
9226,303
9231,306
9237,303
9243,301
9249,298
9254,299
9260,301
9266,302
9272,301
9277,298
9283,297
9289,299
9295,304
9300,302
9306,300
9312,297
9318,299
9323,302
9329,305
9335,303
9341,301
9346,300
9352,303
9358,309
9364,309
9369,308
9375,306
9381,308
9387,312
9392,316
9398,315
9404,314
9410,314
9415,318
9421,323
9427,324
9433,324
9438,323
9444,326
9450,329
9456,334
9461,334
9467,333
9473,334
9479,337
9484,341
9490,345
9496,344
9502,342
9508,345
9513,349
9519,354
9525,355
9531,354
9536,355
9542,358
9548,362
9554,365
9559,364
9565,363
9571,365
9576,367
9582,371
9588,372
9594,371
9599,373
9605,375
9611,378
9617,382
9622,381
9628,381
9634,383
9640,385
9645,388
9651,389
9657,387
9663,388
9668,390
9674,392
9680,395
9686,394
9691,393
9697,395
9703,396
9709,398
9714,399
9720,397
9726,398
9732,399
9737,400
9743,402
9749,400
9755,399
9760,400
9766,401
9772,402
9778,402
9783,400
9789,400
9795,401
9801,402
9806,403
9812,400
9818,399
9824,400
9829,400
9835,401
9841,400
9847,397
9852,397
9858,397
9864,397
9870,398
9875,395
9881,392
9887,393
9893,393
9898,393
9904,392
9910,387
9916,387
9921,386
9927,386
9933,387
9939,383
9944,380
9950,379
9956,379
9962,379
9967,378
9973,373
9979,371
9985,371
9990,371
9996,371
10002,367
10008,362
10014,360
10019,361
10025,362
10031,362
10037,356
10043,350
10048,348
10054,349
10060,353
10066,353
10072,348
10077,341
10083,337
10089,337
10095,340
10101,341
10106,339
10112,331
10118,326
10124,324
10130,328
10135,331
10141,329
10147,322
10153,316
10159,314
10164,316
10170,319
10176,320
10182,315
10188,308
10193,304
10199,305
10205,310
10211,312
10217,309
10222,303
10228,299
10234,298
10240,304
10246,307
10251,306
10257,301
10263,296
10269,294
10275,298
10280,303
10286,305
10292,302
10298,296
10304,294
10309,296
10315,303
10321,307
10327,306
10333,302
10338,298
10344,298
10350,304
10356,310
10362,312
10367,309
10373,305
10379,304
10385,307
10391,315
10396,319
10402,319
10408,315
10414,312
10420,314
10425,322
10431,328
10437,330
10443,328
10449,325
10454,325
10460,330
10466,337
10472,341
10478,341
10483,337
10489,336
10495,339
10501,345
10507,351
10512,353
10518,350
10524,348
10530,349
10536,355
10541,361
10547,365
10553,364
10559,361
10565,361
10570,365
10576,370
10582,375
10588,375
10594,372
10599,371
10605,374
10611,378
10617,383
10623,385
10628,383
10634,381
10640,382
10646,385
10652,389
10657,392
10663,391
10669,389
10675,388
10681,390
10686,393
10692,397
10698,397
10704,396
10710,394
10715,395
10721,397
10727,400
10733,402
10739,400
10744,398
10750,398
10756,399
10762,402
10768,404
10773,403
10779,401
10785,399
10791,400
10797,401
10803,404
10808,404
10814,402
10820,399
10826,398
10832,399
10837,400
10843,402
10849,400
10855,397
10861,394
10866,394
10872,395
10878,397
10884,397
10890,394
10895,389
10901,387
10907,388
10913,390
10919,391
10924,388
10930,383
10936,380
10942,380
10948,381
10953,383
10959,382
10965,377
10971,372
10977,370
10982,371
10988,374
10994,374
11000,370
11006,364
11012,360
11017,359
11023,361
11029,363
11035,361
11040,354
11046,348
11052,346
11058,348
11064,352
11069,351
11075,346
11081,340
11087,336
11093,336
11098,340
11104,341
11110,337
11116,330
11122,325
11127,323
11133,327
11139,330
11145,328
11151,321
11156,315
11162,312
11168,314
11174,318
11180,319
11185,314
11191,307
11197,303
11203,303
11209,309
11214,312
11220,310
11226,304
11232,299
11238,298
11243,302
11249,306
11255,307
11261,303
11267,296
11273,294
11278,296
11284,303
11290,306
11296,304
11302,299
11307,295
11313,295
11319,301
11325,307
11331,308
11336,305
11342,300
11348,299
11354,302
11360,309
11365,313
11371,313
11377,309
11383,306
11389,307
11394,314
11400,320
11406,322
11412,320
11418,316
11423,316
11429,320
11435,328
11441,332
11447,332
11452,327
11458,326
11464,328
11470,335
11476,341
11481,343
11487,341
11493,338
11499,339
11505,344
11511,351
11516,355
11522,355
11528,352
11534,351
11540,354
11545,360
11551,365
11557,367
11563,364
11569,362
11574,364
11580,368
11586,374
11592,377
11598,377
11603,373
11609,374
11615,377
11621,381
11627,385
11632,385
11638,383
11644,382
11650,385
11655,388
11661,393
11667,394
11673,392
11679,390
11685,391
11690,393
11696,397
11702,399
11708,397
11714,395
11719,394
11725,396
11731,399
11737,402
11743,402
11748,400
11754,397
11760,399
11766,400
11772,403
11777,404
11783,402
11789,399
11795,398
11801,400
11806,401
11812,404
11818,402
11824,400
11830,396
11835,397
11841,398
11847,400
11853,400
11859,398
11864,394
11870,392
11876,393
11882,395
11888,396
11893,394
11899,391
11905,387
11911,386
11917,387
11922,389
11928,389
11934,385
11940,380
11946,377
11952,378
11957,380
11963,381
11969,378
11975,373
11981,369
11986,368
11992,369
11998,372
12004,371
12010,365
12015,360
12021,357
12027,358
12033,361
12039,361
12044,357
12050,350
12056,346
12062,345
12068,348
12073,349
12079,347
12085,339
12091,334
12097,332
12102,334
12108,337
12114,337
12120,331
12126,325
12131,321
12137,322
12143,327
12149,328
12155,324
12160,317
12166,312
12172,311
12178,316
12184,318
12189,317
12195,311
12201,305
12207,303
12213,306
12218,310
12224,311
12230,306
12236,300
12242,297
12247,298
12253,304
12259,307
12265,306
12271,300
12276,296
12282,295
12288,301
12294,306
12300,307
12305,303
12311,297
12317,295
12323,298
12329,305
12334,309
12340,308
12346,303
12352,300
12358,301
12363,307
12369,312
12375,315
12381,313
12387,308
12393,307
12398,311
12404,318
12410,323
12416,324
12422,319
12427,317
12433,319
12439,326
12445,332
12451,334
12456,333
12462,330
12468,329
12474,334
12480,342
12485,346
12491,347
12497,343
12503,341
12509,344
12514,350
12520,355
12526,358
12532,356
12538,353
12543,354
12549,359
12555,365
12561,369
12567,369
12572,365
12578,365
12584,369
12590,374
12596,378
12601,379
12607,377
12613,376
12619,378
12625,381
12630,386
12636,388
12642,386
12648,384
12654,384
12659,387
12665,391
12671,394
12677,393
12683,391
12688,390
12694,393
12700,395
12706,399
12712,400
12717,398
12723,395
12729,396
12735,398
12741,401
12746,403
12752,401
12758,399
12764,398
12770,399
12775,401
12781,404
12787,403
12793,401
12799,398
12804,398
12810,400
12816,402
12822,402
12828,400
12833,397
12839,396
12845,397
12851,398
12857,401
12863,399
12868,396
12874,393
12880,392
12886,393
12892,395
12897,395
12903,391
12909,387
12915,384
12921,385
12926,387
12932,388
12938,386
12944,382
12950,378
12955,377
12961,378
12967,380
12973,379
12979,374
12984,369
12990,366
12996,366
13002,368
13008,369
13013,366
13019,360
13025,355
13031,354
13037,356
13042,359
13048,358
13054,351
13060,345
13066,342
13071,344
13077,347
13083,347
13089,343
13095,336
13100,331
13106,331
13112,335
13118,336
13124,334
13129,326
13135,321
13141,319
13147,322
13153,325
13158,325
13164,318
13170,312
13176,309
13182,310
13187,315
13193,316
13199,312
13205,306
13211,302
13216,302
13222,308
13228,310
13234,309
13240,304
13245,299
13251,298
13257,301
13263,306
13269,307
13274,303
13280,297
13286,294
13292,296
13298,303
13303,306
13309,306
13315,301
13321,297
13327,297
13332,302
13338,308
13344,310
13350,308
13356,302
13362,301
13367,304
13373,312
13379,316
13385,316
13391,312
13396,309
13402,310
13408,317
13414,323
13420,326
13425,324
13431,320
13437,319
13443,324
13449,331
13454,336
13460,337
13466,332
13472,330
13478,332
13483,339
13489,345
13495,347
13501,346
13507,343
13512,343
13518,348
13524,355
13530,359
13536,360
13541,357
13547,355
13553,358
13559,363
13565,369
13570,371
13576,369
13582,367
13588,368
13594,372
13599,377
13605,381
13611,380
13617,377
13623,377
13628,380
13634,384
13640,388
13646,389
13652,387
13657,385
13663,387
13669,391
13675,395
13681,396
13686,395
13692,393
13698,393
13704,395
13710,398
13715,401
13721,400
13727,398
13733,397
13739,399
13744,401
13750,404
13756,404
13762,402
13768,399
13773,399
13779,401
13785,403
13791,404
13797,403
13803,400
13808,398
13814,400
13820,401
13826,404
13832,403
13837,401
13843,397
13849,397
13855,398
13861,400
13866,401
13872,398
13878,394
13884,392
13890,393
13895,394
13901,396
13907,395
13913,392
13919,387
13924,386
13930,387
13936,389
13942,389
13948,385
13953,379
13959,377
13965,377
13971,378
13977,380
13982,378
13988,373
13994,368
14000,367
14006,368
14011,372
14017,371
14023,366
14029,360
14035,357
14040,358
14046,360
14052,361
14058,358
14064,351
14069,346
14075,345
14081,347
14087,349
14093,348
14098,340
14104,335
14110,332
14116,334
14122,337
14127,337
14133,332
14139,326
14145,322
14151,322
14156,327
14162,328
14168,325
14174,318
14180,313
14185,312
14191,316
14197,319
14203,318
14209,312
14214,306
14220,303
14226,305
14232,310
14238,311
14243,308
14249,302
14255,298
14261,299
14267,306
14272,309
14278,309
14284,303
14290,299
14296,298
14302,302
14307,307
14313,309
14319,307
14325,301
14331,299
14336,301
14342,308
14348,313
14354,313
14360,309
14365,305
14371,305
14377,310
14383,316
14389,319
14394,318
14400,314
14406,312
14412,314
14418,323
14423,328
14429,329
14435,326
14441,323
14447,324
14452,330
14458,337
14464,340
14470,340
14476,335
14481,335
14487,338
14493,346
14499,350
14505,352
14511,349
14516,347
14522,348
14528,354
14534,360
14540,363
14545,362
14551,359
14557,359
14563,363
14568,369
14574,373
14580,373
14586,370
14592,369
14597,372
14603,376
14609,381
14615,383
14621,381
14626,379
14632,380
14638,383
14644,388
14650,391
14655,389
14661,387
14667,387
14673,389
14679,393
14684,396
14690,396
14696,394
14702,393
14708,395
14713,397
14719,401
14725,402
14731,400
14737,397
14742,398
14748,399
14754,402
14760,404
14766,402
14772,399
14777,398
14783,399
14789,401
14795,404
14801,403
14806,401
14812,398
14818,398
14824,399
14830,401
14835,402
14841,400
14847,397
14853,394
14859,395
14864,396
14870,398
14876,398
14882,395
14888,390
14893,389
14899,390
14905,391
14911,392
14917,389
14922,384
14928,381
14934,382
14940,383
14946,385
14951,384
14957,379
14963,374
14969,373
14975,374
14981,376
14986,376
14992,372
14998,365
15004,362
15010,362
15015,364
15021,366
15027,363
15033,356
15039,351
15044,349
15050,351
15056,354
15062,354
15068,348
15073,342
15079,339
15085,339
15091,343
15097,344
15102,340
15108,332
15114,328
15120,326
15126,330
15131,332
15137,330
15143,323
15149,317
15155,315
15160,317
15166,320
15172,321
15178,316
15184,309
15189,305
15195,306
15201,312
15207,314
15213,311
15218,305
15224,300
15230,299
15236,303
15242,308
15247,308
